fecha,region,producto,unidades,precio_unitario,cliente_id,importe
2026-01-09,Sur,Cable Kit,7.0,12.5,C005,87.5
2026-03-14,Oeste,Gateway,25.0,120.0,C032,3000.0
2026-01-26,Oeste,Hub IoT,1.0,88.96,C016,88.96
2026-02-07,Norte,Hub IoT,15.0,85.0,C027,1275.0
2026-01-11,Este,Cable Kit,22.0,12.5,C028,275.0
2026-02-18,Este,Gateway,20.0,120.0,C003,2400.0
2026-02-22,Este,Hub IoT,16.0,85.0,C007,1360.0
2026-02-27,Oeste,Sensor B,18.0,32.0,C005,576.0
2026-02-01,Norte,Sensor A,7.0,19.5,C010,136.5
2026-02-21,Norte,Hub IoT,16.0,85.0,C018,1360.0
2026-01-21,Norte,Hub IoT,2.0,85.0,C002,170.0
2026-02-26,Norte,Sensor B,9.0,32.0,C040,288.0
2026-01-20,Norte,Sensor A,5.0,19.5,C040,97.5
2026-01-23,Sur,Sensor B,6.0,32.0,C025,192.0
2026-03-03,Este,Hub IoT,23.0,88.04,C011,2024.92
2026-01-22,Sur,Cable Kit,22.0,12.5,C022,275.0
2026-02-21,Norte,Gateway,5.0,120.0,C025,600.0
2026-01-23,Norte,Sensor A,10.0,19.5,C005,195.0
2026-02-19,Oeste,Gateway,4.0,120.0,C015,480.0
2026-01-25,Este,Sensor A,9.0,19.5,C036,175.5
2026-01-19,Oeste,Hub IoT,12.0,85.0,C003,1020.0
2026-01-24,Oeste,Cable Kit,2.0,12.5,C035,25.0
2026-01-06,Sur,Hub IoT,2.0,85.0,C028,170.0
2026-01-13,Sur,Cable Kit,13.0,12.5,C004,162.5
2026-02-05,Norte,Sensor A,9.0,19.5,C013,175.5
2026-02-23,Sur,Sensor A,17.0,19.5,C021,331.5
2026-02-04,Norte,Sensor B,11.0,32.0,C036,352.0
2026-01-18,Este,Sensor B,22.0,32.0,C039,704.0
2026-02-22,Sur,Sensor A,20.0,19.5,C003,390.0
2026-01-18,Norte,Sensor B,2.0,32.0,C024,64.0
2026-03-31,Norte,Hub IoT,20.0,83.72,C024,1674.4
2026-02-09,Este,Cable Kit,10.0,12.5,C015,125.0
2026-01-28,Norte,Gateway,8.0,120.0,C038,960.0
2026-01-30,Oeste,Cable Kit,11.0,12.5,C018,137.5
2026-03-17,Este,Gateway,16.0,120.0,C038,1920.0
